O*NET-SOC Code,Title,wq1,wq2,wq3,wq4,wq5,wq6,wq7,wq8,wq9,wq10,wq11,wq12,wq13,wq14,wq15,wq16,wq17,wq18,wq19,wq20,wq21,wqD,wq22,wq23,dVq1,dVq2,dVq3,dVq4,dVq5,dVq6,dVq7,dVq8,dVq9,dVq10,dVq11,dVq12,dVq13,dVq14,dVq15,dVq16,dVq17,dVq18,dVq19,dVq20,dVq21,dVqD,dVq22,dVq23,mSML,vmSML,sdmSML
11-1011.00,Chief Executives,3.583281797567512,3.5880574452003025,3.354694908266337,3.499587713873428,3.3669775991204562,3.359419020133306,3.3903834260977117,3.6912921734350306,3.358070500927644,3.7899917542774686,3.74755205112348,3.4266989624132482,3.5266010444581872,3.206108706108706,3.75568611282897,3.697339036624751,3.4832852332852333,3.561353329210472,3.3189290867862296,3.7279169243454957,3.798443619872191,4.130428433999863,3.108130625987769,3.024436542293685,0.3813217179514997,0.23263732911719093,0.5410450058677044,0.1900508504283131,0.4676867777340741,0.3389094554031398,0.2582635305766766,0.3419811665873168,0.530412603563942,0.3391809110843478,0.19913464865122477,0.38219166390579257,0.5419990714856587,0.3271967018960766,0.3746097808582471,0.2973374816780018,0.22846497627041157,0.4573842435361231,0.5478474719863645,0.20089478468779864,0.3681824880086652,0.14146161927992013,0.38865119634073136,0.39598846776015084,3.4998501168144025,0.3557518731158295,0.5964493885618708
11-1011.03,Chief Sustainability Officers,3.6092809364548493,3.471153846153846,3.3339464882943144,3.4531772575250836,3.465384615384615,3.4832357859531773,3.1805183946488294,3.685994983277592,3.1981605351170566,3.3292642140468227,3.794314381270903,3.339757525083612,3.4709030100334446,3.1081103678929765,3.6783444816053508,3.851421404682274,3.6224916387959865,3.747157190635451,3.3808528428093645,3.4657190635451505,3.6854515050167223,4.199498327759197,3.188921404682274,2.896488294314381,0.21679931572353778,0.23173478904039102,0.4796586727217816,0.5259430822921444,0.3432415744790327,0.21185315845180702,0.14809872792250645,0.4316997625166385,0.40444059630205476,0.35903909072605444,0.301840583438664,0.49847577732631626,0.40279048892070557,0.5853439209292961,0.2918554532387781,0.30746035419066897,0.39989964457891963,0.15427703549177302,0.2320832191474368,0.23321026890079527,0.39865539814990875,0.13856580183666847,0.30301062592979944,0.48767579501347863,3.4370066889632116,0.3467080324884509,0.588819184884843
11-1021.00,General and Operations Managers,3.7495462310484733,3.403240444159727,3.5480861627162077,3.5873238308776427,3.408632286995516,3.3966607943625884,3.426342622250694,3.759235532778134,3.392470104633782,3.5850416399743756,3.7492659619901776,3.508434764040145,3.4531016442451423,2.977017937219731,3.872344117019005,3.7784806747811235,3.5917547512278456,3.6233317317958575,3.3747597693786036,3.5284539824898573,3.6089712790945976,4.108971279094598,2.9749626307922274,2.9180546658125133,0.14767267116683994,0.27285295955439026,0.2814100944337698,0.25862681740561055,0.31448185774038145,0.35674373439501283,0.2740373193670579,0.13017753502897272,0.48873204898526207,0.2337993096049979,0.2641808531022154,0.23807525307575222,0.1891687021034962,0.17103652690439325,0.22360205547485743,0.18591255035968418,0.1707541829308389,0.14707952701003385,0.4945647244801519,0.3069636109687295,0.23592425848182186,0.13760320360247097,0.2705312196868935,0.09005563983320208,3.4729286781977375,0.25783191699607116,0.507771520465722
11-2011.00,Advertising and Promotions Managers,3.864403550882005,3.8041585705032954,3.4585285937440466,3.717748695088962,3.4510420238503445,3.5022097763553925,3.633777193584028,3.7571912980531104,3.500085724082752,3.653979502419324,3.711567036232712,3.413723473158837,3.558568598315998,3.4986569893702133,3.867403893778336,3.4855316798110256,3.730245361374633,3.638492018135406,3.5527584104850076,3.5529965329370974,3.914999809502038,4.141359012458566,3.233407627538385,3.1822493999314205,0.24161792094038903,0.2648577713781727,0.4523494764210663,0.16919676929653446,0.3670818506488751,0.2504459620644158,0.35835698031628044,0.1690588819989259,0.34818978577059523,0.31072218441367144,0.12860205919913698,0.29485598881020764,0.21193798360087115,0.2721507280403589,0.3579286484038324,0.2738370666644405,0.1462963597061028,0.27454718053153243,0.5876276764740435,0.26534423576095667,0.13834239754380998,0.18506249186671248,0.6535311599469005,0.8300695315818206,3.6051705909246756,0.32497009180368724,0.5700614807226386
11-2021.00,Marketing Managers,3.658514360693979,3.7876634106040727,3.615626670554503,3.515636390144336,3.232711279584002,3.323759537347524,3.6605311755843903,3.802011955095495,3.43079652038684,3.4081863245371045,3.619429460076785,3.389536861544443,3.255005588764154,3.400981678573164,3.550177382514458,3.607899596637022,3.646814404432133,3.6870778053166156,3.1960441269378435,3.495929921757302,3.9405039607328574,4.025586820236186,3.260752296253098,3.4870972444962822,0.24452803051982383,0.3726662061256991,0.8407748656631125,0.300701340888908,0.2620682657519889,0.41914057583017267,0.4653839024599081,0.1343683095232078,0.2779071736257728,0.4888457264728447,0.17302905032453555,0.2387658041967821,0.29051373334421726,0.37613193549883306,0.22460069588474946,0.28792049799452396,0.1202482715755711,0.12500051781602542,0.41550394414148845,0.14238048780744716,0.2879740069297695,0.11135143797179609,0.18989933199465434,0.6847547902227614,3.5253152791952176,0.33583444596468626,0.579512248330168
11-2022.00,Sales Managers,3.8616672136527734,4.005456186412865,3.619420741713161,3.7361749261568757,3.8511240564489664,3.5701099442074176,3.6472349852313752,3.5831965868066953,3.4608221201181495,3.6728339350180508,3.641163439448638,3.5530850016409588,3.3014440433213,3.6119954053167054,3.7708401706596657,3.5688792254676733,3.8291762389235315,3.7202166064981954,3.2677633738103053,3.556818181818182,3.9047013455858224,4.1103544469970466,3.017640301936331,2.976534296028881,0.16218993454369673,0.28926092579615564,0.5660123162484817,0.4102843350063533,0.2769313751580776,0.4744803128220185,0.9214523973582456,0.21610507556432648,0.41806839205418583,0.5299311056682374,0.19147959488255814,0.2750577620559813,0.20737566334407165,0.34128866686435,0.41544606142537294,0.2728545200377329,0.13786879959294324,0.2902804913159538,0.3940785386913414,0.2502689866336486,0.22634440539037845,0.15277923111166497,0.5257595450511724,0.7409163774749147,3.5974770265835248,0.37850324708599303,0.6152261755533431
11-2031.00,Public Relations and Fundraising Managers,3.7612507759155807,3.851800124146493,3.461786157666046,3.468342644320298,3.400411235257604,3.4258224705152083,3.5026381129733086,3.674231843575419,3.37705617628802,3.5183891992551213,3.758147113594041,3.4052219118559903,3.4452203600248295,3.313625077591558,3.969234947237741,3.7308736809435135,3.6685288640595903,3.6496741154562384,3.483550589695841,3.518117628801986,3.811064556176288,4.298921477343265,3.090122594661701,2.9030493482309128,0.31618187234835304,0.28753658988618364,0.4741856519747461,0.18128624551645056,0.24712027884749133,0.3507076051478796,0.45384546121655084,0.2624317759609505,0.3866700686422797,0.34905662319805525,0.10357654818999268,0.2846332685701499,0.26030614324779094,0.4119848517774873,0.3512189625941261,0.4243412757877542,0.14989049042488387,0.2810000489823802,0.6576541013616428,0.19647303954645687,0.21213730040522924,0.20653812398109905,0.24841177371460024,0.3478612011650004,3.523438469894476,0.3119299262349195,0.558506872146547
11-3011.00,Administrative Services Managers,3.7557191273035375,3.4822601143825462,3.556502859563652,3.3082503706841773,3.140859987290828,3.3711078161406483,3.0788498199534,3.629527642448634,3.1125820800677824,3.435871637364965,3.6640542257996187,3.144990468121161,3.1669667443338274,2.9510696886252914,3.564499046812116,3.635829273459013,3.3994916331285743,3.3268375344206738,2.874602838381699,3.162518534208854,3.5662465579326414,3.9962931582291885,3.091823766151239,3.112793899597543,0.19314670272459322,0.1774680755305101,0.1923830464332548,0.31031161789066963,0.6894361593839439,0.32351601485312104,0.2027823881640218,0.27791651062119477,0.36780610558016813,0.5796754158466941,0.20423427284859041,0.12198242418366141,0.8537282278709724,0.8567458373379458,0.5011618386455646,0.17686125363152044,0.34316008894715283,0.4794936844712774,0.9487693031819457,0.24954885715489444,0.15369495636656777,0.11569267745583792,0.8822959960545302,0.5882624970269663,3.330144566829062,0.4144698543255043,0.6437933319983241
11-3021.00,Computer and Information Systems Managers,3.845698051948052,3.643939393939394,3.727137445887446,3.5134199134199138,3.420968614718615,3.671482683982684,3.665882034632035,3.7923701298701302,3.4030032467532467,3.62732683982684,3.6305194805194807,3.3960227272727272,3.5044372294372295,3.333116883116883,3.5837121212121215,3.607115800865801,3.6297348484848486,3.5211580086580088,3.3610930735930737,3.5419372294372296,3.817451298701299,4.075649350649351,3.0251352813852814,2.9626082251082253,0.1807949853064504,0.38245605404696315,0.18580486494701187,0.30393246003635616,0.1754482140221791,0.29149917249957835,0.30680403803222395,0.4171622035522198,0.29357232971528835,0.2769155814874159,0.14743977343003317,0.2271622116046832,0.19201674678135716,0.5383296789790296,0.2437949503148367,0.29487090217457507,0.41445945350419783,0.22598632135361033,0.2817961356374506,0.22115568076404116,0.3030260798792658,0.07766462163377748,0.5179062767927419,0.3255859821545698,3.547959956709957,0.2823236545651318,0.5313413729092925
11-3031.01,Treasurers and Controllers,3.598113360982353,3.8557879970724565,3.529976823615516,3.6567557127754737,3.307829145319997,3.437301780922176,3.711748800520452,3.844138814344962,3.0709217695372852,3.694041229568187,3.6246747174107505,3.2402516874034317,3.2932524192892574,3.359711718305278,3.800073188582581,3.5918313409774743,3.36213100756282,3.4933926974058713,3.3393205659917053,3.4563511425550946,3.7782385947792143,4.1043648857444905,3.397586809791006,3.3552390827030982,0.27595832831651,0.319445945296281,0.4517194066353363,0.28756593904972844,0.40427977005510696,0.28996683525176853,0.48235827237359846,0.1653953244729538,0.5782365158230159,0.3204460129378392,0.2809911081729671,0.26896873256573306,0.34957588865770994,0.41602929668819427,0.4149573013035924,0.33043691888546156,0.17647427071210997,0.35563421891498415,0.40161106557118487,0.21257459616977964,0.3344367852291549,0.18213184501024623,0.26861840057850545,0.6167989121002564,3.5327803529316095,0.34535544904779353,0.5876695066513096
